Strain		Clade
Wuhan/WH01/2019		19A
Wuhan/Hu-1/2019		19A
Chile/Rancagua_2/2020		19A
Chile/Santiago_50/2020		19A
Chile/QuintaNormal/2020-0023C		19A
Chile/Santiago_6/2020		19A
Chile/Santiago_60/2020		19A
Chile/Santiago_24/2020		19A
Chile/Santiago_55/2020		19A
Chile/Santiago_43/2020		19B
Chile/Talca-25343/2020		19B
Chile/Santiago_27/2020		19B
Chile/Antofagasta_1/2020		19B
Chile/Antofagasta_2/2020		19B
Chile/Talca-1/2020		19B
Chile/Talca-2/2020		19B
Chile/Santiago_62/2020		19B
Chile/Santiago_14/2020		19B
Chile/Santiago_4/2020		19B
Chile/Santiago_17/2020		19B
Chile/LaFlorida-26639/2020		19B
Chile/Santiago_16/2020		19B
Chile/Santiago-1/2020		19B
Chile/Santiago_op4d1/2020		19B
Chile/Santiago_15/2020		19B
Chile/Santiago_op3d1/2020		19B
Chile/Santiago_op2d1/2020		19B
Chile/Santiago_3/2020		19B
Chile/Puerto_Montt_1/2020		20A
Chile/Santiago_57/2020		20B
Chile/Santiago-2/2020		20B
Chile/Santiago_21/2020		20B
Chile/Santiago_12/2020		20B
Chile/Santiago_8/2020		20B
Chile/Santiago_13/2020		20B
Chile/Santiago_54/2020		20B
Chile/Santiago_77/2020		20B
Chile/Santiago_78/2020		20B
Chile/Santiago-Centro/2020-0257M		20B
Chile/Santiago_71/2020		20B
Chile/Santiago-23741/2020		20B
Chile/Santiago_66/2020		20B
Chile/Santiago_73/2020		20B
Chile/Santiago_74/2020		20B
Chile/Santiago_56/2020		20B
Chile/Santiago_76/2020		20B
Chile/Santiago-Centro/2020-0184M		20B
Chile/Santiago-Centro/2020-0263M		20B
Chile/Santiago_52/2020		20B
Chile/Santiago-Centro/2020-0166M		20B
Chile/Santiago-Centro/2020-0096M		20B
Chile/Santiago-Centro/2020-0069M		20B
Chile/Santiago_23/2020		20B
Chile/VinaDelMar-28875/2020		20B
Chile/Temuco_1/2020		20B
Chile/Penalolen/2020-0000C		20B
Chile/Rancagua_3/2020		20B
Chile/Santiago_63/2020		20B
Chile/Rancagua_4/2020		20B
Chile/Rancagua_5/2020		20B
Chile/Chillan_2/2020		20B
Chile/Chillan-25338/2020		20B
Chile/Concepcion_1/2020		20B
Chile/Chillan_1/2020		20B
Chile/Santiago_36/2020		20B
Chile/Chillan_4/2020		20B
Chile/Santiago_65/2020		20B
Chile/Macul/2020-0000B		20B
Chile/Santiago-05207/2020		20B
Chile/Santiago-Centro/2020-0007M		20B
Chile/Santiago_40/2020		20B
Chile/Santiago_42/2020		20B
Chile/Santiago_38/2020		20B
Chile/Copiapo-00006/2020		20B
Chile/Copiapo-00064/2020		20B
Chile/Copiapo-00063/2020		20B
Chile/Rancagua_9/2020		20B
Chile/Santiago_80/2020		20B
Chile/Copiapo-00007/2020		20B
Chile/Copiapo-00014/2020		20B
Chile/Santiago-05426/2020		20B
Chile/Copiapo-00015/2020		20B
Chile/Santiago_11/2020		20A
Chile/Santiago_48/2020		20A
Chile/Santiago_10/2020		20A
Chile/PuenteAlto-29192/2020		20A
Chile/Santiago_46/2020		20A
Chile/Temuco_14/2020		20A
Chile/Valparaiso_2/2020		20A
Chile/Santiago-05015/2020		20A
Chile/Punta_Arenas_15/2020		20C
Chile/Punta_Arenas_7/2020		20C
Chile/Punta_Arenas_11/2020		20C
Chile/Valparaiso_3/2020		20C
Chile/Valparaiso_5/2020		20C
Chile/Punta_Arenas_10/2020		20C
Chile/PuertoNatales-31600/2020		20C
Chile/Punta_Arenas_6/2020		20C
Chile/Punta_Arenas_13/2020		20C
Chile/Punta_Arenas_17/2020		20C
Chile/Santiago_69/2020		20C
Chile/Punta_Arenas_9/2020		20C
Chile/Punta_Arenas_5/2020		20C
Chile/Temuco_9/2020		20A
Chile/Temuco_7/2020		20A
Chile/Temuco_10/2020		20A
Chile/Temuco_13/2020		20A
Chile/Temuco_5/2020		20A
