Strain	Clade	Old Nextstrain clade
Wuhan/WH01/2019	19A	A1a
Wuhan-Hu-1/2019	19A	A1a
Chile/Rancagua_2/2020	19A	A1a
Chile/Santiago_50/2020	19A	A1a
Chile/QuintaNormal/2020-0023C	19A	A1a
Chile/Santiago_6/2020	19A	A1a
Chile/Santiago_55/2020	19A	A1a
Chile/Santiago_60/2020	19A	A1a
Chile/Santiago_24/2020	19A	A1a
Chile/Santiago_43/2020	19B	B1
Chile/Talca/2020-25343	19B	B
Chile/Santiago_27/2020	19B	B
Chile/Antofagasta_1/2020	19B	B
Chile/Antofagasta_2/2020	19B	B
Chile/Santiago_62/2020	19B	B
Chile/Santiago_14/2020	19B	B
Chile/Talca-1/2020	19B	B
Chile/Talca-2/2020	19B	B
Chile/Santiago_4/2020	19B	B
Chile/Santiago_17/2020	19B	B
Chile/LaFlorida/2020-26639	19B	B
Chile/Santiago_16/2020	19B	B
Chile/Santiago-1/2020	19B	B
Chile/Santiago_op4d1/2020	19B	B
Chile/Santiago_15/2020	19B	B
Chile/Santiago_op3d1/2020	19B	B
Chile/Santiago_op2d1/2020	19B	B
Chile/Santiago_3/2020	19B	B
Chile/Santiago_11/2020	20A	A2a
Chile/Santiago_48/2020	20A	A2a
Chile/Valparaiso_1/2020	20A	A2a
Chile/Santiago_32/2020	20A	A2a
Chile/Punta_Arenas_4/2020	20A	A2a
Chile/Santiago_51/2020	20A	A2a
Chile/Santiago_19/2020	20A	A2a
Chile/Puerto_Montt_1/2020	20A	A2a
Chile/VinaDelMar/2020-0000E	20A	A2a
Chile/Santiago/2020-25669	20A	A2a
Chile/Santiago/2020-04917	20A	A2a
Chile/Punta_Arenas_1/2020	20A	A2a
Chile/Coyhaique_1/2020	20A	A2a
Chile/Punta_Arenas_12/2020	20A	A2a
Chile/Punta_Arenas_2/2020	20A	A2a
Chile/Punta_Arenas_14/2020	20A	A2a
Chile/Punta_Arenas_3/2020	20A	A2a
Chile/Santiago_79/2020	20A	A2a
Chile/Huasco/2020-00013	20A	A2a
Chile/Santiago_20/2020	20A	A2a
Chile/Santiago_18/2020	20A	A2a
Chile/Santiago_35/2020	20A	A2a
Chile/Santiago_28/2020	20A	A2a
Chile/Santiago_9/2020	20A	A2a
Chile/Rancagua_1/2020	20A	A2a
Chile/Santiago_26/2020	20A	A2a
Chile/Concepcion_2/2020	20A	A2a
Chile/Puerto_Montt_2/2020	20A	A2a
Chile/Chillan_3/2020	20A	A2a
Chile/Santiago_41/2020	20A	A2a
Chile/Santiago_44/2020	20A	A2a
Chile/Santiago_47/2020	20A	A2a
Chile/Santiago_59/2020	20A	A2a
Chile/Santiago_7/2020	20A	A2a
Chile/Santiago_5/2020	20A	A2a
Chile/Rancagua_6/2020	20A	A2a
Chile/Melipilla/2020-32205	20A	A2a
Chile/Santiago_70/2020	20A	A2a
Chile/Santiago_45/2020	20A	A2a
Chile/Santiago_34/2020	20A	A2a
Chile/Santiago_22/2020	20A	A2a
Chile/Independencia/2020-27991	20A	A2a
Chile/Santiago_30/2020	20A	A2a
Chile/Santiago_29/2020	20A	A2a
Chile/Santiago_68/2020	20A	A2a
Chile/Santiago_33/2020	20A	A2a
Chile/Santiago/2020-05230	20A	A2a
Chile/Santiago_75/2020	20A	A2a
Chile/Santiago_57/2020	20B	A2a
Chile/Santiago/2020-05207	20B	A2a
Chile/Santiago-2/2020	20B	A2a
Chile/Santiago_8/2020	20B	A2a
Chile/Santiago_13/2020	20B	A2a
Chile/Santiago_21/2020	20B	A2a
Chile/Santiago_12/2020	20B	A2a
Chile/Santiago_54/2020	20B	A2a
Chile/Santiago_77/2020	20B	A2a
Chile/Santiago_78/2020	20B	A2a
Chile/Santiago_71/2020	20B	A2a
Chile/Macul/2020-23741	20B	A2a
Chile/Santiago_76/2020	20B	A2a
Chile/Santiago_66/2020	20B	A2a
Chile/Santiago_56/2020	20B	A2a
Chile/Santiago_52/2020	20B	A2a
Chile/Santiago_74/2020	20B	A2a
Chile/Santiago_73/2020	20B	A2a
Chile/Chillan_2/2020	20B	A2a
Chile/Chillan_1/2020	20B	A2a
Chile/Chillan/2020-25338	20B	A2a
Chile/Concepcion_1/2020	20B	A2a
Chile/Santiago_36/2020	20B	A2a
Chile/Chillan_4/2020	20B	A2a
Chile/Rancagua_8/2020	20B	A2a
Chile/Temuco_1/2020	20B	A2a
Chile/Rancagua_4/2020	20B	A2a
Chile/Rancagua_5/2020	20B	A2a
Chile/Rancagua_3/2020	20B	A2a
Chile/Penalolen/2020-0000C	20B	A2a
Chile/Santiago_63/2020	20B	A2a
Chile/Macul/2020-0000B	20B	A2a
Chile/Santiago_65/2020	20B	A2a
Chile/Santiago_23/2020	20B	A2a
Chile/VinaDelMar/2020-28875	20B	A2a
Chile/Santiago_80/2020	20B	A2a
Chile/Rancagua_9/2020	20B	A2a
Chile/Santiago_40/2020	20B	A2a
Chile/Santiago/2020-05426	20B	A2a
Chile/Santiago_42/2020	20B	A2a
Chile/Copiapo/2020-00015	20B	A2a
Chile/Copiapo/2020-00007	20B	A2a
Chile/Copiapo/2020-00014	20B	A2a
Chile/Santiago_38/2020	20B	A2a
Chile/Copiapo/2020-00006	20B	A2a
Chile/Copiapo/2020-00064	20B	A2a
Chile/Copiapo/2020-00063	20B	A2a
Chile/Santiago_10/2020	20A	A2a
Chile/PuenteAlto/2020-29192	20A	A2a
Chile/Santiago_46/2020	20A	A2a
